
	Название		Ссылка

fruit-cocktail 			https://apiv2.1casinowin.com/games/seo-demo?term=fruit-cocktail&provider=igrosoft

fruits-and-jokers-40-lines	https://apiv2.1casinowin.com/games/seo-demo?term=fruits-and-jokers-40-lines&provider=playson

sun-of-egypt			https://apiv2.1casinowin.com/games/seo-demo?term=sun-of-egypt&provider=booongo

wild-burning-wins-5-lines	https://apiv2.1casinowin.com/games/seo-demo?term=wild-burning-wins-5-lines&provider=playson

3-fruits-win-10-lines		https://apiv2.1casinowin.com/games/seo-demo?term=3-fruits-win-10-lines&provider=playson

sevens-and-fruits-20-lines	https://apiv2.1casinowin.com/games/seo-demo?term=sevens-and-fruits-20-lines&provider=playson

777-gems-respin			https://apiv2.1casinowin.com/games/seo-demo?term=777-gems-respin&provider=booongo

book-of-sun-multichance		https://apiv2.1casinowin.com/games/seo-demo?term=book-of-sun-multichance&provider=booongo

crazy-monkey			https://apiv2.1casinowin.com/games/seo-demo?term=crazy-monkey&provider=igrosoft
